curr 0B,curr 1Y,curr 2G,curr 3W,Time,Trial Number,,,,
1.02,8.14,7.99,8.22,voltageMeasure,-1,,,,
0,58,190,196,16,0,148,,,
0,58,190,196,32,0,148,,,
0,58,190,196,48,0,148,,,
0,58,190,196,73,0,148,,,
0,58,190,196,106,0,148,,,
0,58,190,196,141,0,148,,,
0,312,190,196,175,0,232.6666667,,,
0,312,190,5446,212,0,1982.666667,,,
0,312,8786,5446,249,0,4848,,,
0,312,8786,5446,287,0,4848,,,
0,2306,8786,6622,326,0,5904.666667,,,
0,2306,5816,6622,364,0,4914.666667,,,
0,2306,5816,6622,403,0,4914.666667,,,
0,810,5816,6472,440,0,4366,,,
0,810,5180,6472,477,0,4154,,,
0,810,5180,6472,514,0,4154,,,
0,810,5180,6472,552,0,4154,,,
0,784,5180,6420,590,0,4128,,,
0,784,5210,6420,627,0,4138,,,
0,784,5210,6420,665,0,4138,,,
0,832,5210,6468,702,0,4170,,,
0,832,5020,6468,740,0,4106.666667,,,
0,832,5020,6468,776,0,4106.666667,,,
0,558,5020,6468,814,0,4015.333333,,,
0,558,4824,6248,851,1,3876.666667,4070.888889,,
0,558,4824,6248,889,1,3876.666667,,,
0,558,4824,6248,927,1,3876.666667,,,
0,194,190,196,15,1,193.3333333,,,
0,194,190,196,32,1,193.3333333,,,
0,194,190,196,48,1,193.3333333,,,
0,194,190,196,77,1,193.3333333,,,
0,194,186,196,111,1,192,,,
0,194,186,196,146,1,192,,,
0,194,186,196,181,1,192,,,
0,5732,8142,7898,220,1,7257.333333,,,
0,5732,8142,7898,258,1,7257.333333,,,
0,5732,8142,7898,297,1,7257.333333,,,
0,2326,8142,7898,335,1,6122,,,
0,2326,4014,4020,374,1,3453.333333,6269.466667,,
0,2326,4014,4020,413,2,3453.333333,,,means
0,2326,4014,4020,451,2,3453.333333,,,4070.888889
0,3928,3306,2244,489,2,3159.333333,,,6269.466667
0,196,186,196,16,2,192.6666667,,,6430.077135
0,196,186,196,32,2,192.6666667,,,5746.603175
0,196,186,196,49,2,192.6666667,,,3437.860697
0,196,186,196,77,2,192.6666667,,,
0,196,186,196,111,2,192.6666667,,,
0,196,186,196,147,2,192.6666667,,,
0,196,1356,196,183,2,582.6666667,,,
0,5052,1356,7364,222,2,4590.666667,,,
0,5052,1356,7364,260,2,4590.666667,,,
0,5052,6980,7364,298,2,6465.333333,,,
0,6550,6980,7812,336,2,7114,,,
0,6550,6980,7812,375,2,7114,,,
0,6550,6698,7812,414,2,7020,,,
0,6518,6698,7812,452,2,7009.333333,,,
0,6518,6698,7750,491,2,6988.666667,,,
0,6518,6698,7750,529,2,6988.666667,,,
0,6518,6678,7750,568,2,6982,,,
0,6410,6678,7716,607,2,6934.666667,,,
0,6410,6678,7716,645,2,6934.666667,,,
0,6410,6666,7716,683,2,6930.666667,,,
0,6430,6666,7674,721,2,6923.333333,,,
0,6430,6666,7674,760,2,6923.333333,,,
0,6430,6678,7674,798,2,6927.333333,,,
0,6354,6678,7674,837,2,6902,,,
0,6354,6678,7636,876,2,6889.333333,,,
0,6354,6678,7636,914,2,6889.333333,,,
0,6354,6606,7636,953,2,6865.333333,,,
0,6292,6606,7602,991,2,6833.333333,,,
0,6292,6606,7602,1030,2,6833.333333,,,
0,6292,6596,7602,1069,2,6830,,,
0,6348,6596,7582,1108,2,6842,,,
0,6348,6596,7582,1148,2,6842,,,
0,6348,6514,7582,1187,2,6814.666667,,,
0,6358,6514,7536,1227,2,6802.666667,,,
0,6358,6514,7536,1266,2,6802.666667,,,
0,6358,6554,7536,1306,2,6816,,,
0,6248,6554,7536,1346,2,6779.333333,,,
0,6248,6554,7530,1385,2,6777.333333,,,
0,6248,6566,7530,1425,2,6781.333333,,,
0,6248,6566,7530,1464,2,6781.333333,,,
0,6242,6566,7500,1504,2,6769.333333,,,
0,6242,6566,7500,1544,2,6769.333333,,,
0,6242,6504,7500,1583,2,6748.666667,,,
0,6286,6504,7490,1622,2,6760,,,
0,6286,6504,7490,1661,2,6760,,,
0,6286,6466,7490,1701,2,6747.333333,,,
0,6184,6466,7446,1741,2,6698.666667,,,
0,6184,6466,7446,1780,2,6698.666667,,,
0,6184,6478,7446,1820,2,6702.666667,,,
0,6174,6478,7442,1859,2,6698,,,
0,6174,6478,7442,1899,2,6698,,,
0,6174,6488,7442,1939,2,6701.333333,,,
0,6186,6488,7442,1978,2,6705.333333,,,
0,6186,6488,7412,2018,2,6695.333333,,,
0,6186,6446,7412,2057,2,6681.333333,,,
0,6186,6446,7412,2097,2,6681.333333,,,
0,6128,6446,7400,2137,2,6658,,,
0,6128,6446,7400,2175,2,6658,,,
0,6128,6384,7400,2215,2,6637.333333,,,
0,6158,6384,7372,2254,2,6638,,,
0,6158,6384,7372,2294,2,6638,,,
0,6158,6384,7372,2333,2,6638,,,
0,6140,6384,7360,2373,2,6628,,,
0,6140,6384,7360,2413,2,6628,,,
0,6140,6432,7360,2452,2,6644,,,
0,6130,6432,7360,2492,2,6640.666667,,,
0,6130,6432,7336,2531,2,6632.666667,,,
0,6130,6406,7336,2571,2,6624,,,
0,6130,6406,7336,2611,2,6624,,,
0,6082,6406,7318,2650,2,6602,,,
0,6082,6324,7318,2689,2,6574.666667,,,
0,6082,6324,7318,2728,2,6574.666667,,,
0,6168,6324,7298,2768,2,6596.666667,,,
0,6168,6324,7298,2808,2,6596.666667,,,
0,6168,6318,7298,2847,2,6594.666667,,,
0,6000,6318,7294,2887,2,6537.333333,,,
0,6000,6318,7294,2926,2,6537.333333,,,
0,6000,6384,7294,2966,2,6559.333333,,,
0,6078,6384,7294,3006,2,6585.333333,,,
0,6078,6384,7262,3045,2,6574.666667,,,
0,6078,6344,7262,3085,2,6561.333333,,,
0,6068,6344,7262,3124,2,6558,,,
0,6068,6344,7254,3164,2,6555.333333,,,
0,6068,6348,7254,3204,2,6556.666667,,,
0,6068,6348,7254,3242,2,6556.666667,,,
0,6042,6348,7226,3282,2,6538.666667,,,
0,6042,6266,7226,3321,2,6511.333333,,,
0,6042,6266,7226,3361,2,6511.333333,,,
0,5944,6266,7252,3401,2,6487.333333,,,
0,5944,6266,7252,3440,2,6487.333333,,,
0,5944,6302,7252,3480,2,6499.333333,,,
0,6068,6302,7210,3519,2,6526.666667,,,
0,6068,6302,7210,3559,2,6526.666667,,,
0,6068,6314,7210,3598,2,6530.666667,,,
0,6026,6314,7210,3638,2,6516.666667,,,
0,6026,6314,7202,3678,2,6514,,,
0,6026,6330,7202,3717,2,6519.333333,,,
0,6026,6330,7202,3757,2,6519.333333,,,
0,5984,6330,7186,3795,2,6500,,,
0,5984,6204,7186,3835,2,6458,,,
0,5984,6204,7186,3875,2,6458,,,
0,5986,6204,7206,3914,2,6465.333333,,,
0,5986,6262,7206,3954,2,6484.666667,,,
0,5986,6262,7206,3993,2,6484.666667,,,
0,6004,6262,7166,4033,2,6477.333333,,,
0,6004,6318,7166,4073,2,6496,,,
0,6004,6318,7166,4112,2,6496,,,
0,5994,6318,7166,4152,2,6492.666667,,,
0,5994,6318,7160,4191,2,6490.666667,,,
0,5994,6262,7160,4231,2,6472,,,
0,5994,6262,7160,4271,2,6472,,,
0,5994,6262,7134,4309,2,6463.333333,,,
0,5994,6212,7134,4349,2,6446.666667,,,
0,5994,6212,7134,4388,2,6446.666667,,,
0,5922,6212,7144,4428,2,6426,,,
0,5922,6200,7144,4468,2,6422,,,
0,5922,6200,7144,4507,2,6422,,,
0,5908,6200,7124,4547,2,6410.666667,,,
0,5908,6262,7124,4586,2,6431.333333,,,
0,5908,6262,7124,4626,2,6431.333333,,,
0,5968,6262,7110,4666,2,6446.666667,,,
0,5968,6226,7110,4705,2,6434.666667,,,
0,5968,6226,7110,4745,2,6434.666667,,,
0,5974,6226,7110,4784,2,6436.666667,,,
0,5974,6226,7098,4824,2,6432.666667,,,
0,5974,6248,7098,4862,2,6440,,,
0,5974,6248,7098,4902,2,6440,,,
0,5820,6248,7114,4942,2,6394,,,
0,5820,6114,7114,4981,2,6349.333333,,,
0,5820,6114,7114,5021,2,6349.333333,,,
0,5954,6114,7092,5060,2,6386.666667,,,
0,5954,6206,7092,5100,2,6417.333333,,,
0,5954,6206,7092,5140,2,6417.333333,,,
0,5950,6206,7068,5179,2,6408,,,
0,5950,6236,7068,5219,2,6418,,,
0,5950,6236,7068,5258,2,6418,,,
0,5954,6236,7068,5298,2,6419.333333,,,
0,5954,6220,7064,5338,2,6412.666667,,,
0,5954,6220,7064,5376,2,6412.666667,,,
0,5832,6220,7064,5416,2,6372,,,
0,5832,6220,7074,5455,2,6375.333333,,,
0,5832,6128,7074,5495,2,6344.666667,,,
0,5832,6128,7074,5535,2,6344.666667,,,
0,5950,6128,7048,5574,2,6375.333333,,,
0,5950,6180,7048,5614,2,6392.666667,,,
0,5950,6180,7048,5653,2,6392.666667,,,
0,5842,6180,7038,5693,2,6353.333333,,,
0,5842,6212,7038,5733,2,6364,,,
0,5842,6212,7038,5772,2,6364,,,
0,5924,6212,7026,5812,2,6387.333333,,,
0,5924,6164,7026,5851,2,6371.333333,,,
0,5924,6164,7026,5891,2,6371.333333,,,
0,5830,6164,7026,5930,2,6340,,,
0,5830,6144,7038,5969,2,6337.333333,,,
0,5830,6144,7038,6009,2,6337.333333,,,
0,5830,6144,7038,6048,2,6337.333333,,,
0,5842,6144,7016,6088,2,6334,,,
0,5842,6076,7016,6127,2,6311.333333,,,
0,5842,6076,7016,6167,2,6311.333333,,,
0,5850,6076,7010,6207,2,6312,,,
0,5850,6184,7010,6246,2,6348,,,
0,5850,6184,7010,6286,2,6348,,,
0,5940,6184,6990,6325,2,6371.333333,,,
0,5940,6170,6990,6365,2,6366.666667,,,
0,5940,6170,6990,6405,2,6366.666667,,,
0,5816,6170,6990,6443,2,6325.333333,,,
0,5816,6150,7010,6483,2,6325.333333,,,
0,5816,6150,7010,6522,2,6325.333333,,,
0,5832,6150,7010,6562,2,6330.666667,,,
0,5832,6068,6992,6602,2,6297.333333,,,
0,5832,6068,6992,6641,2,6297.333333,,,
0,5832,6068,6992,6681,2,6297.333333,,,
0,5898,6068,6982,6720,2,6316,,,
0,5898,6148,6982,6760,2,6342.666667,,,
0,5898,6148,6982,6800,2,6342.666667,,,
0,5842,6148,6966,6839,2,6318.666667,,,
0,5842,6158,6966,6879,2,6322,,,
0,5842,6158,6966,6918,2,6322,,,
0,5794,6158,6966,6958,2,6306,,,
0,5794,6130,6980,6997,2,6301.333333,,,
0,5794,6130,6980,7036,2,6301.333333,,,
0,5852,6130,6980,7076,2,6320.666667,,,
0,5852,6092,6954,7115,2,6299.333333,,,
0,5852,6092,6954,7155,2,6299.333333,,,
0,5852,6092,6954,7195,2,6299.333333,,,
0,5796,6066,6946,7234,2,6269.333333,,,
0,5796,6066,6946,7274,2,6269.333333,,,
0,5796,6066,6946,7313,2,6269.333333,,,
0,5816,6144,6938,7353,2,6299.333333,,,
0,5816,6144,6938,7392,2,6299.333333,,,
0,5816,6144,6938,7432,2,6299.333333,,,
0,5830,6144,6956,7472,2,6310,,,
0,5830,6114,6956,7510,2,6300,,,
0,5830,6114,6956,7550,2,6300,,,
0,5840,6114,6956,7589,2,6303.333333,,,
0,5840,6076,6934,7629,2,6283.333333,,,
0,5840,6076,6934,7669,2,6283.333333,,,
0,5760,6076,6934,7708,2,6256.666667,,,
0,5760,6032,6930,7748,2,6240.666667,,,
0,5760,6032,6930,7787,2,6240.666667,,,
0,5760,6032,6930,7827,2,6240.666667,,,
0,5876,6140,6910,7867,2,6308.666667,,,
0,5876,6140,6910,7906,2,6308.666667,,,
0,5876,6140,6910,7946,2,6308.666667,,,
0,5768,6088,6930,7985,2,6262,,,
0,5768,6088,6930,8025,2,6262,,,
0,5768,6088,6930,8064,2,6262,,,
0,5816,6088,6930,8103,2,6278,,,
0,5816,6082,6914,8143,2,6270.666667,,,
0,5816,6082,6914,8182,2,6270.666667,,,
0,5796,6082,6914,8222,2,6264,,,
0,5796,6042,6904,8262,2,6247.333333,,,
0,5796,6042,6904,8301,2,6247.333333,,,
0,5796,6042,6904,8341,2,6247.333333,,,
0,5814,6032,6894,8380,2,6246.666667,,,
0,5814,6032,6894,8420,2,6246.666667,,,
0,5814,6032,6894,8460,2,6246.666667,,,
0,5718,6092,6910,8499,2,6240,,,
0,5718,6092,6910,8539,2,6240,,,
0,5718,6092,6910,8577,2,6240,,,
0,5806,6092,6884,8617,2,6260.666667,,,
0,5806,6092,6884,8656,2,6260.666667,,,
0,5806,6092,6884,8696,2,6260.666667,,,
0,5784,6092,6884,8736,2,6253.333333,,,
0,5784,6032,6882,8775,2,6232.666667,,,
0,5784,6032,6882,8815,2,6232.666667,,,
0,5744,6032,6882,8854,2,6219.333333,,,
0,5744,6020,6866,8894,2,6210,,,
0,5744,6020,6866,8934,2,6210,,,
0,5744,6020,6866,8973,2,6210,,,
0,5790,6114,6894,9013,2,6266,,,
0,5790,6114,6894,9052,2,6266,,,
