Power 0B,Power 1Y,Power 2G,Power 3W,Time,Trial Number
8.36,8.54,8.56,1.02,voltageMeasure,-1
206.00,206.00,196.00,0.00,16.00,0
206.00,210.00,196.00,0.00,32.00,0
212.00,216.00,190.00,0.00,48.00,0
204.00,206.00,190.00,0.00,77.00,0
14342.00,9474.00,6842.00,0.00,115.00,0
11554.00,6308.00,6056.00,0.00,155.00,0
10820.00,5442.00,5714.00,0.00,195.00,0
10706.00,5306.00,5686.00,0.00,234.00,0
10390.00,5122.00,5712.00,0.00,274.00,0
10290.00,5204.00,5676.00,0.00,312.00,0
10300.00,5230.00,5558.00,0.00,352.00,0
10296.00,5112.00,5518.00,0.00,392.00,0
10246.00,5194.00,5522.00,0.00,431.00,0
10138.00,5116.00,9240.00,0.00,471.00,0
1318.00,5206.00,9014.00,0.00,509.00,0
2140.00,5210.00,8942.00,0.00,548.00,0
2346.00,5564.00,8864.00,0.00,587.00,0
2360.00,5904.00,8870.00,0.00,625.00,0
2376.00,3910.00,8788.00,0.00,664.00,0
2416.00,4578.00,8762.00,0.00,702.00,0
2378.00,4656.00,8704.00,0.00,741.00,0
2372.00,4630.00,8668.00,0.00,778.00,0
2372.00,4630.00,8668.00,0.00,817.00,0
2416.00,4656.00,8678.00,0.00,856.00,0
2392.00,4692.00,8674.00,0.00,894.00,0
2442.00,4662.00,8668.00,0.00,933.00,0
2416.00,4636.00,8648.00,0.00,971.00,0
2382.00,4618.00,8664.00,0.00,1010.00,0
2424.00,4670.00,8632.00,0.00,1049.00,0
2416.00,4650.00,8614.00,0.00,1089.00,0
2408.00,4636.00,8592.00,0.00,1129.00,0
2416.00,4712.00,8598.00,0.00,1168.00,0
2432.00,4558.00,8582.00,0.00,1207.00,0
2330.00,4608.00,8602.00,0.00,1246.00,0
2392.00,4686.00,8532.00,0.00,1286.00,0
2412.00,4626.00,8530.00,0.00,1326.00,0
2396.00,4692.00,8516.00,0.00,1365.00,0
2382.00,4690.00,8578.00,0.00,1405.00,0
2378.00,4620.00,8460.00,0.00,1444.00,0
2444.00,4610.00,8496.00,0.00,1484.00,0
2422.00,4590.00,8572.00,0.00,1524.00,0
6056.00,4558.00,7690.00,0.00,1563.00,0
5344.00,4374.00,7754.00,0.00,1603.00,0
5138.00,4234.00,7744.00,0.00,1642.00,0
5066.00,4210.00,7770.00,0.00,1682.00,0
5106.00,4090.00,7760.00,0.00,1722.00,0
5060.00,6046.00,7740.00,0.00,1760.00,0
5106.00,5276.00,7724.00,0.00,1800.00,0
5046.00,5328.00,7720.00,0.00,1839.00,0
5056.00,5250.00,7734.00,0.00,1879.00,0
5020.00,5252.00,7736.00,0.00,1919.00,0
5026.00,5214.00,7694.00,0.00,1958.00,0
5044.00,5328.00,7662.00,0.00,1998.00,0
5056.00,5390.00,7672.00,0.00,2037.00,0
5034.00,5322.00,7672.00,0.00,2077.00,0
5040.00,5234.00,7724.00,0.00,2117.00,0
5020.00,5174.00,7720.00,0.00,2156.00,0
5020.00,5252.00,7700.00,0.00,2196.00,0
5004.00,5164.00,7714.00,0.00,2235.00,0
5016.00,5288.00,7680.00,0.00,2274.00,0
4978.00,5246.00,7690.00,0.00,2313.00,0
4984.00,5174.00,7664.00,0.00,2353.00,0
4974.00,5298.00,7662.00,0.00,2393.00,0
4970.00,5170.00,7638.00,0.00,2432.00,0
5000.00,5236.00,7616.00,0.00,2472.00,0
5016.00,5312.00,7606.00,0.00,2511.00,0
5000.00,5180.00,7626.00,0.00,2551.00,0
4968.00,5256.00,5148.00,0.00,2591.00,0
7164.00,5116.00,5688.00,0.00,2630.00,0
6836.00,4938.00,5804.00,0.00,2670.00,0
6816.00,4970.00,5832.00,0.00,2709.00,0
6666.00,4916.00,5794.00,0.00,2749.00,0
6738.00,4934.00,5814.00,0.00,2789.00,0
6718.00,3474.00,5804.00,0.00,2827.00,0
6704.00,3880.00,5832.00,0.00,2867.00,0
6738.00,4020.00,5804.00,0.00,2906.00,0
6632.00,4028.00,5836.00,0.00,2946.00,0
6770.00,4014.00,5800.00,0.00,2986.00,0
6822.00,4046.00,5830.00,0.00,3025.00,0
6786.00,3958.00,5794.00,0.00,3065.00,0
6754.00,3946.00,5822.00,0.00,3104.00,0
6774.00,3902.00,5806.00,0.00,3144.00,0
6720.00,3942.00,5806.00,0.00,3184.00,0
6776.00,3968.00,5866.00,0.00,3223.00,0
6756.00,3928.00,5820.00,0.00,3263.00,0
6724.00,3932.00,5840.00,0.00,3302.00,0
6708.00,3946.00,5794.00,0.00,3341.00,0
6704.00,3952.00,5790.00,0.00,3381.00,0
6728.00,3912.00,5780.00,0.00,3420.00,0
6720.00,3932.00,5814.00,0.00,3460.00,0
6668.00,3964.00,5796.00,0.00,3499.00,0
6708.00,3988.00,5784.00,0.00,3539.00,0
6692.00,3964.00,5810.00,0.00,3578.00,0
6636.00,3978.00,5804.00,0.00,3618.00,0
6636.00,3982.00,5784.00,0.00,3658.00,0
4716.00,3936.00,10990.00,0.00,3698.00,0
5224.00,3988.00,10332.00,0.00,3739.00,0
5306.00,3952.00,10050.00,0.00,3780.00,0
5352.00,3964.00,9988.00,0.00,3819.00,0
5308.00,3938.00,9992.00,0.00,3859.00,0
5358.00,4010.00,9864.00,0.00,3898.00,0
5364.00,4172.00,9890.00,0.00,3937.00,0
5302.00,4116.00,9824.00,0.00,3976.00,0
5328.00,4182.00,9810.00,0.00,4016.00,0
5276.00,4096.00,9902.00,0.00,4056.00,0
5324.00,4194.00,9802.00,0.00,4095.00,0
