Power 0B,Power 1Y,Power 2G,Power 3W,Time,Trial Number
8.44,8.51,8.41,1.03,voltageMeasure,-1
204.00,200.00,186.00,0.00,15.00,0
200.00,204.00,186.00,0.00,31.00,0
206.00,210.00,186.00,0.00,47.00,0
200.00,204.00,186.00,0.00,76.00,0
5460.00,6780.00,6226.00,0.00,113.00,0
2966.00,4512.00,2166.00,0.00,152.00,0
3186.00,4764.00,2084.00,0.00,191.00,0
3050.00,4496.00,1990.00,0.00,229.00,0
3172.00,4436.00,1894.00,0.00,267.00,0
3230.00,4346.00,1848.00,0.00,305.00,0
3198.00,4328.00,1868.00,0.00,344.00,0
3150.00,2542.00,1862.00,0.00,383.00,0
3150.00,3228.00,1890.00,0.00,421.00,0
3132.00,3310.00,1924.00,0.00,460.00,0
3122.00,3296.00,1950.00,0.00,498.00,0
3060.00,3208.00,1970.00,0.00,537.00,0
3096.00,3208.00,1936.00,0.00,575.00,0
3090.00,3274.00,1934.00,0.00,614.00,0
3142.00,3230.00,1946.00,0.00,652.00,0
3218.00,3240.00,1966.00,0.00,690.00,0
3176.00,3270.00,1950.00,0.00,729.00,0
3156.00,3204.00,1972.00,0.00,767.00,0
3140.00,3234.00,1998.00,0.00,806.00,0
3126.00,3238.00,1954.00,0.00,844.00,0
3074.00,3188.00,1926.00,0.00,883.00,0
3114.00,3300.00,1890.00,0.00,922.00,0
3122.00,3306.00,1914.00,0.00,960.00,0
3060.00,3240.00,1908.00,0.00,999.00,0
3130.00,3218.00,1980.00,0.00,1036.00,0
3120.00,3276.00,1950.00,0.00,1076.00,0
4198.00,3218.00,1976.00,0.00,1116.00,0
4074.00,3204.00,1884.00,0.00,1155.00,0
4092.00,3176.00,1904.00,0.00,1195.00,0
4128.00,3198.00,2678.00,0.00,1234.00,0
4046.00,3192.00,2526.00,0.00,1274.00,0
4014.00,3178.00,2556.00,0.00,1313.00,0
4060.00,3172.00,2650.00,0.00,1353.00,0
4046.00,3122.00,2618.00,0.00,1393.00,0
4074.00,3152.00,2612.00,0.00,1432.00,0
4080.00,2696.00,2592.00,0.00,1472.00,0
4076.00,2768.00,2624.00,0.00,1511.00,0
4086.00,2818.00,2628.00,0.00,1551.00,0
4128.00,2832.00,2678.00,0.00,1590.00,0
4102.00,2766.00,2696.00,0.00,1629.00,0
4056.00,2796.00,2762.00,0.00,1669.00,0
4040.00,2900.00,2658.00,0.00,1708.00,0
4046.00,2890.00,2688.00,0.00,1748.00,0
4112.00,2828.00,2684.00,0.00,1788.00,0
4112.00,2834.00,2678.00,0.00,1827.00,0
4182.00,2724.00,2680.00,0.00,1867.00,0
4168.00,2818.00,2622.00,0.00,1906.00,0
4128.00,2778.00,2634.00,0.00,1946.00,0
4162.00,2824.00,2736.00,0.00,1986.00,0
4046.00,2814.00,2786.00,0.00,2025.00,0
4128.00,2788.00,2684.00,0.00,2065.00,0
4122.00,2822.00,2668.00,0.00,2103.00,0
4172.00,2814.00,2642.00,0.00,2143.00,0
2992.00,2808.00,2650.00,0.00,2183.00,0
3276.00,2798.00,2792.00,0.00,2222.00,0
3250.00,2808.00,2788.00,0.00,2262.00,0
3316.00,2818.00,1298.00,0.00,2301.00,0
3268.00,2822.00,1926.00,0.00,2341.00,0
3260.00,2778.00,2012.00,0.00,2381.00,0
3260.00,2766.00,1980.00,0.00,2420.00,0
3234.00,2792.00,1946.00,0.00,2460.00,0
3340.00,6148.00,1936.00,0.00,2499.00,0
3264.00,4790.00,1904.00,0.00,2539.00,0
3258.00,4608.00,1818.00,0.00,2578.00,0
3192.00,4568.00,1798.00,0.00,2618.00,0
3202.00,4630.00,1812.00,0.00,2657.00,0
3306.00,4598.00,1782.00,0.00,2696.00,0
3224.00,4490.00,1776.00,0.00,2736.00,0
3222.00,4508.00,1792.00,0.00,2775.00,0
3142.00,4528.00,1786.00,0.00,2815.00,0
3142.00,4610.00,1818.00,0.00,2855.00,0
3070.00,4634.00,1772.00,0.00,2894.00,0
3248.00,4640.00,1792.00,0.00,2934.00,0
3276.00,4662.00,1798.00,0.00,2973.00,0
3208.00,4572.00,1790.00,0.00,3013.00,0
3120.00,4654.00,1842.00,0.00,3053.00,0
3122.00,4598.00,1796.00,0.00,3092.00,0
3130.00,4690.00,1836.00,0.00,3132.00,0
3096.00,4696.00,1780.00,0.00,3170.00,0
3050.00,4636.00,1812.00,0.00,3210.00,0
3012.00,4702.00,1780.00,0.00,3250.00,0
4070.00,4660.00,1756.00,0.00,3289.00,0
3712.00,4574.00,1790.00,0.00,3329.00,0
3690.00,4522.00,2962.00,0.00,3368.00,0
3856.00,4428.00,2356.00,0.00,3408.00,0
3890.00,4404.00,2162.00,0.00,3448.00,0
3784.00,4346.00,2206.00,0.00,3487.00,0
3730.00,4338.00,2298.00,0.00,3527.00,0
3686.00,4256.00,2314.00,0.00,3566.00,0
3694.00,3040.00,2314.00,0.00,3606.00,0
3598.00,3428.00,2350.00,0.00,3646.00,0
3694.00,3516.00,2310.00,0.00,3685.00,0
3746.00,3576.00,2284.00,0.00,3724.00,0
3768.00,3584.00,2310.00,0.00,3763.00,0
3730.00,3556.00,2392.00,0.00,3803.00,0
3726.00,3536.00,2412.00,0.00,3842.00,0
3772.00,3526.00,2372.00,0.00,3882.00,0
3720.00,3532.00,2408.00,0.00,3922.00,0
3712.00,3510.00,2340.00,0.00,3961.00,0
3722.00,3510.00,2346.00,0.00,4001.00,0
3732.00,3510.00,2454.00,0.00,4040.00,0
3834.00,3536.00,2478.00,0.00,4080.00,0
3920.00,3510.00,2474.00,0.00,4120.00,0
3890.00,3516.00,2432.00,0.00,4159.00,0
3864.00,3464.00,2424.00,0.00,4199.00,0
3850.00,3450.00,2366.00,0.00,4237.00,0
3818.00,3500.00,2340.00,0.00,4277.00,0
3752.00,3532.00,2330.00,0.00,4317.00,0
3758.00,3540.00,2470.00,0.00,4356.00,0
3002.00,3532.00,2504.00,0.00,4396.00,0
3228.00,3588.00,2488.00,0.00,4435.00,0
3268.00,3562.00,1652.00,0.00,4475.00,0
3320.00,3502.00,1832.00,0.00,4515.00,0
3228.00,3542.00,1890.00,0.00,4554.00,0
3238.00,3598.00,1858.00,0.00,4594.00,0
3280.00,3654.00,1924.00,0.00,4633.00,0
3186.00,3612.00,1936.00,0.00,4673.00,0
3188.00,3546.00,1864.00,0.00,4713.00,0
3120.00,3540.00,1864.00,0.00,4752.00,0
3114.00,3526.00,1854.00,0.00,4791.00,0
3152.00,3506.00,1872.00,0.00,4830.00,0
3202.00,3512.00,1832.00,0.00,4870.00,0
3158.00,3522.00,1848.00,0.00,4910.00,0
3228.00,3548.00,1872.00,0.00,4949.00,0
3310.00,3540.00,1890.00,0.00,4989.00,0
3254.00,3548.00,1936.00,0.00,5028.00,0
3152.00,3566.00,1842.00,0.00,5068.00,0
3132.00,3548.00,1894.00,0.00,5107.00,0
3178.00,3540.00,1878.00,0.00,5147.00,0
3178.00,3494.00,1904.00,0.00,5187.00,0
3244.00,3486.00,1880.00,0.00,5226.00,0
3270.00,3454.00,1950.00,0.00,5266.00,0
3202.00,3510.00,1930.00,0.00,5305.00,0
3284.00,3490.00,1842.00,0.00,5344.00,0
3348.00,3500.00,1832.00,0.00,5384.00,0
3224.00,3512.00,1864.00,0.00,5423.00,0
3126.00,3530.00,1808.00,0.00,5463.00,0
2042.00,3546.00,1898.00,0.00,5502.00,0
2186.00,3618.00,2008.00,0.00,5542.00,0
2206.00,3556.00,1498.00,0.00,5582.00,0
2160.00,3566.00,1678.00,0.00,5621.00,0
2156.00,3582.00,1628.00,0.00,5661.00,0
2156.00,3612.00,1602.00,0.00,5700.00,0
2232.00,3710.00,1582.00,0.00,5740.00,0
2186.00,3736.00,1616.00,0.00,5780.00,0
2248.00,3648.00,1612.00,0.00,5819.00,0
2320.00,3638.00,1582.00,0.00,5858.00,0
2234.00,3608.00,1612.00,0.00,5897.00,0
2424.00,3576.00,1602.00,0.00,5937.00,0
2224.00,3598.00,1658.00,0.00,5977.00,0
2360.00,3526.00,1668.00,0.00,6016.00,0
2370.00,3598.00,1654.00,0.00,6056.00,0
2264.00,3584.00,1616.00,0.00,6095.00,0
2262.00,3540.00,1654.00,0.00,6135.00,0
2262.00,3566.00,1582.00,0.00,6175.00,0
2170.00,3608.00,1642.00,0.00,6214.00,0
2280.00,3710.00,1546.00,0.00,6254.00,0
2222.00,3640.00,1600.00,0.00,6293.00,0
2150.00,3556.00,1602.00,0.00,6333.00,0
2310.00,3502.00,1632.00,0.00,6372.00,0
2306.00,3454.00,1688.00,0.00,6411.00,0
2340.00,3562.00,1592.00,0.00,6451.00,0
2320.00,3556.00,1586.00,0.00,6490.00,0
7382.00,3578.00,1636.00,0.00,6530.00,0
5452.00,3572.00,1518.00,0.00,6569.00,0
5016.00,3578.00,5134.00,0.00,6609.00,0
4978.00,3414.00,3192.00,0.00,6649.00,0
4836.00,3260.00,2778.00,0.00,6688.00,0
5008.00,3218.00,2704.00,0.00,6728.00,0
5060.00,3218.00,2684.00,0.00,6767.00,0
5014.00,3228.00,2720.00,0.00,6807.00,0
5112.00,3198.00,2886.00,0.00,6847.00,0
5220.00,3848.00,2920.00,0.00,6886.00,0
5126.00,3690.00,2838.00,0.00,6925.00,0
5024.00,3620.00,2752.00,0.00,6964.00,0
4944.00,3604.00,2680.00,0.00,7004.00,0
4948.00,3548.00,2716.00,0.00,7044.00,0
5046.00,3540.00,2832.00,0.00,7083.00,0
5026.00,3506.00,2834.00,0.00,7123.00,0
5082.00,3540.00,2782.00,0.00,7162.00,0
5070.00,3530.00,2802.00,0.00,7202.00,0
