Power 0B,Power 1Y,Power 2G,Power 3W,Time,Trial Number
8.51,8.56,8.49,1.03,voltageMeasure,-1
204.00,212.00,190.00,0.00,14.00,0
204.00,206.00,186.00,0.00,32.00,0
216.00,206.00,194.00,0.00,48.00,0
200.00,204.00,194.00,0.00,76.00,0
11178.00,1986.00,1796.00,0.00,115.00,0
7514.00,1654.00,1226.00,0.00,153.00,0
7110.00,1500.00,1248.00,0.00,192.00,0
6692.00,1500.00,1248.00,0.00,229.00,0
6750.00,1544.00,1164.00,0.00,268.00,0
6702.00,1540.00,1166.00,0.00,307.00,0
6802.00,1600.00,1206.00,0.00,345.00,0
6544.00,1554.00,1138.00,0.00,384.00,0
6668.00,1592.00,1146.00,0.00,422.00,0
1318.00,1554.00,1156.00,0.00,461.00,0
974.00,1530.00,1206.00,0.00,498.00,0
1252.00,1560.00,7524.00,0.00,537.00,0
1226.00,8730.00,5004.00,0.00,576.00,0
1236.00,5410.00,5214.00,0.00,613.00,0
1246.00,4554.00,4944.00,0.00,652.00,0
1218.00,4414.00,4870.00,0.00,690.00,0
1190.00,4686.00,4754.00,0.00,729.00,0
1182.00,4434.00,4808.00,0.00,767.00,0
1216.00,3382.00,4352.00,0.00,806.00,0
1218.00,3058.00,3958.00,0.00,845.00,0
1196.00,3774.00,3912.00,0.00,883.00,0
1256.00,3158.00,4310.00,0.00,922.00,0
1186.00,3532.00,5040.00,0.00,960.00,0
1114.00,4420.00,5786.00,0.00,998.00,0
1150.00,3974.00,5568.00,0.00,1036.00,0
1092.00,4152.00,5570.00,0.00,1076.00,0
1166.00,3804.00,5338.00,0.00,1116.00,0
1102.00,3530.00,822.00,0.00,1154.00,0
1166.00,3736.00,1402.00,0.00,1194.00,0
1166.00,4572.00,1406.00,0.00,1233.00,0
1186.00,5542.00,1402.00,0.00,1273.00,0
1190.00,154.00,1392.00,0.00,1312.00,0
1202.00,1412.00,1422.00,0.00,1351.00,0
1180.00,1592.00,1418.00,0.00,1391.00,0
1206.00,1580.00,1336.00,0.00,1430.00,0
1228.00,1718.00,1366.00,0.00,1470.00,0
1262.00,1710.00,1364.00,0.00,1509.00,0
7288.00,1550.00,1380.00,0.00,1548.00,0
4964.00,1442.00,1268.00,0.00,1588.00,0
5698.00,1518.00,1282.00,0.00,1627.00,0
6904.00,1510.00,1390.00,0.00,1667.00,0
7382.00,1572.00,1392.00,0.00,1707.00,0
7238.00,1590.00,1314.00,0.00,1746.00,0
7300.00,1524.00,1330.00,0.00,1786.00,0
7130.00,1612.00,1360.00,0.00,1825.00,0
7536.00,1616.00,1402.00,0.00,1865.00,0
7192.00,1636.00,1298.00,0.00,1905.00,0
7258.00,1632.00,1392.00,0.00,1944.00,0
7364.00,1632.00,1454.00,0.00,1984.00,0
7010.00,1648.00,1284.00,0.00,2022.00,0
7062.00,1626.00,1426.00,0.00,2062.00,0
7232.00,1648.00,1438.00,0.00,2101.00,0
6714.00,1566.00,1452.00,0.00,2141.00,0
6580.00,1544.00,1490.00,0.00,2181.00,0
6288.00,1494.00,5902.00,0.00,2220.00,0
5374.00,1478.00,4584.00,0.00,2260.00,0
4562.00,1402.00,4382.00,0.00,2299.00,0
566.00,1402.00,4690.00,0.00,2338.00,0
894.00,8398.00,4516.00,0.00,2377.00,0
1062.00,5242.00,4912.00,0.00,2416.00,0
1098.00,4164.00,5524.00,0.00,2456.00,0
1118.00,3942.00,5440.00,0.00,2495.00,0
1156.00,3922.00,5298.00,0.00,2534.00,0
1170.00,3690.00,4854.00,0.00,2574.00,0
1150.00,3856.00,4382.00,0.00,2613.00,0
1176.00,4002.00,472.00,0.00,2652.00,0
1218.00,4736.00,1170.00,0.00,2691.00,0
1192.00,6066.00,1222.00,0.00,2731.00,0
1154.00,6078.00,1256.00,0.00,2771.00,0
1156.00,6114.00,1222.00,0.00,2810.00,0
1192.00,2130.00,1238.00,0.00,2850.00,0
1128.00,678.00,1242.00,0.00,2888.00,0
1228.00,1000.00,1238.00,0.00,2928.00,0
1216.00,1048.00,1216.00,0.00,2967.00,0
1190.00,1064.00,1274.00,0.00,3007.00,0
1248.00,1082.00,1242.00,0.00,3046.00,0
1216.00,1068.00,1284.00,0.00,3085.00,0
1288.00,1082.00,1268.00,0.00,3125.00,0
1324.00,1056.00,1272.00,0.00,3164.00,0
1298.00,1104.00,1324.00,0.00,3204.00,0
1236.00,1098.00,1314.00,0.00,3244.00,0
1294.00,1082.00,1288.00,0.00,3283.00,0
1288.00,1110.00,1300.00,0.00,3323.00,0
1256.00,1190.00,1298.00,0.00,3362.00,0
7600.00,1094.00,1304.00,0.00,3402.00,0
5276.00,1108.00,1202.00,0.00,3442.00,0
6248.00,1216.00,1318.00,0.00,3481.00,0
6504.00,1180.00,1264.00,0.00,3521.00,0
5822.00,1092.00,1382.00,0.00,3559.00,0
5768.00,1108.00,1418.00,0.00,3599.00,0
6016.00,1176.00,1462.00,0.00,3639.00,0
5738.00,1048.00,11318.00,0.00,3679.00,0
5442.00,1098.00,6140.00,0.00,3719.00,0
4332.00,1038.00,4952.00,0.00,3758.00,0
4038.00,1002.00,5324.00,0.00,3798.00,0
3686.00,1000.00,5322.00,0.00,3838.00,0
4046.00,1012.00,5450.00,0.00,3877.00,0
4512.00,10558.00,5456.00,0.00,3918.00,0
3680.00,5508.00,4516.00,0.00,3957.00,0
3240.00,3722.00,4046.00,0.00,3997.00,0
3230.00,3476.00,3886.00,0.00,4037.00,0
3038.00,3428.00,3674.00,0.00,4076.00,0
2942.00,3630.00,3766.00,0.00,4116.00,0
2968.00,3500.00,3512.00,0.00,4154.00,0
2832.00,3614.00,3312.00,0.00,4194.00,0
1304.00,3340.00,3304.00,0.00,4234.00,0
698.00,3650.00,4008.00,0.00,4272.00,0
1210.00,3614.00,4414.00,0.00,4312.00,0
1308.00,3454.00,26.00,0.00,4349.00,0
1380.00,3984.00,970.00,0.00,4388.00,0
1354.00,5748.00,1042.00,0.00,4427.00,0
1400.00,5850.00,1072.00,0.00,4467.00,0
1410.00,6338.00,1078.00,0.00,4507.00,0
1524.00,6458.00,1048.00,0.00,4546.00,0
1836.00,5728.00,1074.00,0.00,4586.00,0
1490.00,6556.00,1092.00,0.00,4624.00,0
1468.00,6784.00,1058.00,0.00,4664.00,0
1484.00,6098.00,1144.00,0.00,4704.00,0
1590.00,52.00,1098.00,0.00,4741.00,0
1564.00,992.00,1140.00,0.00,4780.00,0
1618.00,1138.00,1120.00,0.00,4819.00,0
1590.00,1128.00,1150.00,0.00,4859.00,0
1730.00,1124.00,1118.00,0.00,4898.00,0
1678.00,1156.00,1128.00,0.00,4938.00,0
1652.00,1228.00,1130.00,0.00,4978.00,0
1720.00,1154.00,1064.00,0.00,5017.00,0
1688.00,1170.00,1102.00,0.00,5057.00,0
1714.00,1160.00,1110.00,0.00,5095.00,0
1678.00,1134.00,1102.00,0.00,5135.00,0
1766.00,1170.00,1098.00,0.00,5175.00,0
1730.00,1134.00,1140.00,0.00,5214.00,0
1642.00,1154.00,1042.00,0.00,5254.00,0
9794.00,1170.00,1110.00,0.00,5293.00,0
6620.00,1180.00,1128.00,0.00,5333.00,0
7056.00,1298.00,1236.00,0.00,5373.00,0
6836.00,1256.00,7346.00,0.00,5412.00,0
6128.00,1246.00,5496.00,0.00,5452.00,0
5580.00,1138.00,5030.00,0.00,5491.00,0
5390.00,1140.00,5016.00,0.00,5531.00,0
5132.00,1088.00,5092.00,0.00,5571.00,0
5162.00,1092.00,4890.00,0.00,5610.00,0
4400.00,1104.00,4906.00,0.00,5649.00,0
5036.00,970.00,4886.00,0.00,5687.00,0
5102.00,1038.00,4942.00,0.00,5727.00,0
5056.00,1072.00,4762.00,0.00,5767.00,0
3902.00,7092.00,4184.00,0.00,5806.00,0
3594.00,4086.00,3680.00,0.00,5846.00,0
3346.00,3438.00,3742.00,0.00,5885.00,0
26.00,3084.00,3768.00,0.00,5923.00,0
832.00,3476.00,4326.00,0.00,5961.00,0
1026.00,3402.00,4624.00,0.00,6001.00,0
1120.00,3694.00,368.00,0.00,6040.00,0
1104.00,3848.00,1068.00,0.00,6079.00,0
1202.00,5118.00,1078.00,0.00,6118.00,0
1206.00,5724.00,1114.00,0.00,6157.00,0
1180.00,5282.00,1082.00,0.00,6197.00,0
1192.00,5800.00,1074.00,0.00,6237.00,0
1166.00,5842.00,1064.00,0.00,6276.00,0
1212.00,928.00,1144.00,0.00,6315.00,0
1228.00,1278.00,1164.00,0.00,6354.00,0
1238.00,1364.00,1156.00,0.00,6394.00,0
1222.00,1328.00,1182.00,0.00,6434.00,0
1238.00,1386.00,1094.00,0.00,6473.00,0
1232.00,1328.00,1128.00,0.00,6513.00,0
1222.00,1282.00,1098.00,0.00,6552.00,0
1226.00,1344.00,1082.00,0.00,6592.00,0
1212.00,1314.00,1120.00,0.00,6631.00,0
1252.00,1328.00,1134.00,0.00,6670.00,0
1236.00,1344.00,1120.00,0.00,6710.00,0
1238.00,1410.00,1120.00,0.00,6749.00,0
1252.00,1288.00,1110.00,0.00,6789.00,0
1262.00,1392.00,1156.00,0.00,6828.00,0
1268.00,1370.00,1166.00,0.00,6868.00,0
1258.00,1360.00,1174.00,0.00,6908.00,0
1262.00,1364.00,1176.00,0.00,6947.00,0
6990.00,1374.00,1138.00,0.00,6987.00,0
5790.00,1410.00,1212.00,0.00,7026.00,0
6656.00,1364.00,11840.00,0.00,7067.00,0
6764.00,1380.00,5990.00,0.00,7107.00,0
5932.00,1364.00,4584.00,0.00,7146.00,0
5728.00,1216.00,4578.00,0.00,7185.00,0
5052.00,1248.00,4752.00,0.00,7224.00,0
