curr 0B,curr 1Y,curr 2G,curr 3W,Time,Trial Number,,,,
1.02,8.07,8.01,7.47,voltageMeasure,-1,,,,
0,190,184,194,14,0,189.3333333,,,
0,190,184,194,31,0,189.3333333,,,
0,190,184,194,48,0,189.3333333,,,
0,190,184,194,76,0,189.3333333,,,
0,190,184,194,110,0,189.3333333,,,
0,190,184,194,145,0,189.3333333,,,
0,190,2480,2352,183,0,1674,,,
0,190,2480,2352,220,0,1674,,,
0,2834,2480,2352,259,0,2555.333333,,,
0,2834,2480,810,296,0,2041.333333,,,
0,2834,3742,810,334,0,2462,,,
0,3568,3742,810,371,0,2706.666667,,,
0,3568,3742,810,409,0,2706.666667,,,
0,3568,586,836,444,0,1663.333333,,,
0,4418,586,836,481,0,1946.666667,,,
0,4418,586,836,518,0,1946.666667,,,
0,4418,708,836,554,0,1987.333333,,,
0,4418,708,836,591,0,1987.333333,,,
0,4778,708,836,627,0,2107.333333,,,
0,4778,708,836,664,0,2107.333333,,,
0,4778,708,838,699,0,2108,,,
0,5226,708,838,736,0,2257.333333,,,
0,5226,708,838,772,0,2257.333333,,,
0,5226,712,838,809,0,2258.666667,,,
0,5226,712,838,845,0,2258.666667,,,
0,812,712,838,881,0,787.3333333,,,
0,812,712,838,916,0,787.3333333,,,
0,812,714,852,951,0,792.6666667,,,
0,812,714,852,987,0,792.6666667,,,
0,812,714,852,1022,0,792.6666667,,,
0,812,714,852,1059,0,792.6666667,,,
0,812,714,852,1095,0,792.6666667,,,
0,812,714,852,1132,0,792.6666667,,,
0,812,714,852,1167,0,792.6666667,,,
0,812,712,832,1204,0,785.3333333,,,
0,812,712,832,1240,0,785.3333333,,,
0,812,712,832,1277,0,785.3333333,,,
0,812,712,6440,1315,0,2654.666667,,,
0,812,712,6440,1352,0,2654.666667,,,
0,812,712,6440,1390,0,2654.666667,,,
0,812,712,6440,1426,0,2654.666667,,,
0,812,3290,5688,1465,0,3263.333333,,,
0,754,3290,5688,1503,0,3244,,,
0,754,3290,5688,1542,0,3244,,,
0,754,4270,5652,1581,0,3558.666667,,,
0,754,4270,5652,1619,0,3558.666667,,,
0,738,4270,5652,1658,0,3553.333333,,,
0,738,4142,5630,1696,0,3503.333333,,,
0,738,4142,5630,1735,0,3503.333333,,,
0,586,4142,5630,1773,0,3452.666667,,,
0,586,4142,5630,1811,0,3452.666667,,,
0,586,4106,5908,1850,0,3533.333333,,,
0,2324,4106,5908,1889,0,4112.666667,,,
0,2324,4106,5908,1929,0,4112.666667,,,
0,2324,3096,576,1967,0,1998.666667,,,
0,1762,3096,576,2006,0,1811.333333,,,
0,1762,3096,576,2044,0,1811.333333,,,
0,1762,3086,606,2083,0,1818,,,
0,1762,3086,606,2122,0,1818,,,
0,1734,3086,606,2160,0,1808.666667,,,
0,1734,822,606,2197,0,1054,,,
0,1734,822,610,2234,0,1055.333333,,,
0,1012,822,610,2272,0,814.6666667,,,
0,1012,822,610,2309,0,814.6666667,,,
0,1012,918,610,2347,0,846.6666667,,,
0,1012,918,610,2385,0,846.6666667,,,
0,688,918,610,2421,0,738.6666667,,,
0,688,934,606,2458,0,742.6666667,,,
0,688,934,606,2493,0,742.6666667,,,
0,682,934,606,2530,0,740.6666667,,,
0,682,934,606,2566,0,740.6666667,,,
0,682,954,610,2603,0,748.6666667,,,
0,676,954,610,2639,0,746.6666667,,,
0,676,954,610,2676,0,746.6666667,,,
0,676,954,606,2713,0,745.3333333,,,
0,676,954,606,2748,0,745.3333333,,,
0,666,954,606,2785,0,742,,,
0,666,954,606,2821,0,742,,,
0,666,970,602,2858,0,746,,,
0,662,970,602,2894,0,744.6666667,,,
0,662,970,602,2931,0,744.6666667,,,
0,662,984,602,2967,0,749.3333333,,,
